Date,Subways: Total Estimated Ridership,Subways: % of Comparable Pre-Pandemic Day,Buses: Total Estimated Ridership,Buses: % of Comparable Pre-Pandemic Day,LIRR: Total Estimated Ridership,LIRR: % of 2019 Monthly Weekday/Saturday/Sunday Average,Metro-North: Total Estimated Ridership,Metro-North: % of 2019 Monthly Weekday/Saturday/Sunday Average,Access-A-Ride: Total Scheduled Trips,Access-A-Ride: % of Comprable Pre-Pandemic Day,Bridges and Tunnels: Total Traffic,Bridges and Tunnels: % of Comparable Pre-Pandemic Day
1/3/22,2169857,41.40%,849830,40.60%,103000,35%,84000,32%,16437,55.20%,692740,83.20%
1/2/22,1220577,53.60%,458780,48.70%,49200,53%,42600,53%,8383,45.00%,624655,88.80%
1/1/22,1028836,44.50%,342025,45.20%,34000,30%,30300,31%,4904,57.50%,498515,74.60%
12/31/21,1629389,52.20%,685526,56.80%,96700,32%,85200,32%,11498,75.70%,628305,73.70%
12/30/21,2201870,50.80%,901238,58.70%,110100,38%,90800,35%,16177,65.70%,804654,98.50%
12/29/21,2170793,50.10%,906047,59.00%,105900,37%,92600,36%,16859,68.50%,768653,94.10%
12/28/21,2172577,50.20%,951518,62.00%,109900,38%,89700,35%,16736,68.00%,764364,93.50%
12/27/21,2011522,46.50%,888468,57.90%,108500,37%,89400,34%,14952,60.80%,744547,91.10%
12/26/21,1286440,51.00%,518558,55.00%,56500,60%,51500,64%,8744,48.80%,673477,86.20%
12/25/21,811926,46.60%,329314,49.30%,39500,35%,31600,33%,9021,61.00%,582582,76.10%
12/24/21,1577668,43.20%,746338,48.90%,97400,33%,81100,30%,12009,54.10%,738612,81.60%
12/23/21,2491410,52.50%,1166196,63.70%,118400,41%,97200,37%,19335,71.60%,899513,97.20%
12/22/21,2640129,55.60%,1252182,68.40%,117700,41%,92900,36%,21673,80.30%,878197,94.90%
12/21/21,2703097,57.00%,1299476,71.00%,124400,43%,97100,37%,21656,80.20%,866595,93.60%
12/20/21,2722430,57.40%,1277654,69.80%,132100,45%,102700,39%,20318,75.30%,856849,92.60%
12/19/21,1581503,59.30%,636393,61.00%,65700,70%,56300,70%,12238,61.70%,784051,93.50%
12/18/21,1882956,59.10%,786073,62.10%,74300,66%,66100,69%,12312,70.60%,832994,91.80%
12/17/21,3118492,55.10%,1375383,66.20%,146100,49%,121000,45%,22539,72.30%,968689,97.60%
12/16/21,3226842,56.10%,1438193,70.30%,152700,53%,126100,48%,23623,74.10%,948535,97.40%
12/15/21,3249076,54.70%,1436154,65.00%,153100,53%,129800,50%,23732,70.70%,921048,97.60%
12/14/21,3281294,57.60%,1378221,67.40%,154900,54%,131800,51%,23043,73.00%,894669,103.30%
12/13/21,3127619,54.60%,1333718,61.20%,153400,53%,129700,49%,21617,71.60%,874293,96.40%
12/12/21,1831705,65.10%,627007,59.50%,80900,87%,66500,83%,12189,61.70%,828121,98.50%
12/11/21,2268556,65.70%,786137,61.30%,91900,81%,81100,84%,13396,75.40%,863814,98.00%
12/10/21,3423782,57.80%,1404176,66.50%,152500,51%,127700,48%,22237,72.50%,962125,98.20%
12/9/21,3440822,56.50%,1436883,64.30%,154400,54%,126200,48%,22743,69.60%,927903,94.80%
12/8/21,3385675,56.90%,1430106,64.70%,156200,55%,130200,50%,22691,73.10%,889409,100.80%
12/7/21,3375157,56.90%,1453136,64.90%,153700,53%,131000,50%,23262,71.10%,883027,97.10%
12/6/21,3142556,55.90%,1394230,67.80%,155000,53%,127300,48%,21761,72.80%,865595,98.80%
12/5/21,1737545,65.00%,665129,64.30%,72700,78%,60500,75%,12541,63.90%,818544,99.10%
12/4/21,2318203,65.80%,864764,65.50%,91500,81%,81400,84%,13317,71.90%,864918,96.50%
12/3/21,3380539,56.70%,1419078,64.50%,144500,48%,119400,44%,22518,72.70%,940827,96.20%
12/2/21,3366133,55.50%,1449142,63.50%,154700,54%,127500,49%,22540,68.50%,923179,95.70%
12/1/21,3333735,55.70%,1463384,63.90%,163200,57%,136100,53%,23347,69.20%,899319,96.60%
11/30/21,3214333,55.10%,1432539,64.20%,166700,58%,136600,53%,22469,74.30%,897216,100.10%
11/29/21,3002707,57.00%,1381661,70.40%,166200,57%,132500,50%,21124,80.50%,900399,117.90%
11/28/21,1467414,72.20%,592081,72.30%,75200,80%,65100,81%,10481,69.70%,825585,113.50%
11/27/21,1882638,67.50%,750986,61.30%,83700,74%,76100,79%,10620,74.40%,850980,94.30%
11/26/21,2092977,60.10%,843588,59.50%,128500,43%,108700,40%,11077,74.10%,789915,98.40%
11/25/21,1359188,64.00%,509782,62.40%,125400,44%,69900,27%,15459,72.20%,861084,95.40%
11/24/21,3091878,58.50%,1343391,62.70%,165300,58%,139400,54%,21002,76.30%,992568,100.50%
11/23/21,3293785,56.40%,1424890,61.80%,162200,56%,136600,53%,22574,70.80%,989345,99.20%
11/22/21,3137259,54.80%,1418226,62.40%,156900,54%,127800,48%,21441,71.70%,901942,99.60%
11/21/21,1676033,74.30%,674551,72.40%,80500,86%,66900,83%,TBD,TBD,841901,111.50%
11/20/21,2138098,67.00%,861772,63.50%,94400,84%,82900,86%,TBD,TBD,915131,102.00%
11/19/21,3323841,57.20%,1429787,65.30%,151800,51%,127100,47%,22662,74.50%,987149,100.90%
11/18/21,3419760,57.00%,1505488,64.50%,157400,55%,132600,51%,24071,74.20%,959226,99.90%
11/17/21,3376522,56.90%,1501740,64.50%,158400,55%,131100,51%,24396,72.80%,915266,98.60%
11/16/21,3348316,56.80%,1492110,64.30%,161400,56%,137200,53%,23694,72.50%,902386,99.20%
11/15/21,3117761,55.50%,1437414,66.10%,161000,55%,132200,50%,22208,74.70%,890524,100.90%
11/14/21,1704908,70.00%,657129,65.00%,72500,78%,62900,78%,12460,65.70%,858311,104.60%
11/13/21,2172149,67.10%,815114,61.90%,80800,72%,74300,77%,13124,75.10%,869112,96.20%
11/12/21,3164764,53.80%,1350608,60.60%,141700,47%,117700,44%,21598,69.00%,919941,92.90%
11/11/21,2927728,61.00%,1198235,66.10%,143400,50%,122900,47%,19846,89.80%,895643,105.40%
11/10/21,3359437,57.60%,1514453,69.00%,159300,56%,134400,52%,24608,76.30%,926005,100.90%
11/9/21,3287134,56.60%,1518264,69.20%,157200,54%,134100,52%,24504,77.60%,898518,101.20%
11/8/21,3072454,52.80%,1461178,63.20%,159700,55%,131100,49%,22136,73.50%,889544,96.80%
11/7/21,1891963,65.70%,614513,62.00%,81200,87%,72200,90%,10647,63.00%,780686,100.50%
11/6/21,2198274,67.90%,864499,66.10%,84900,75%,80800,84%,13672,77.10%,910587,99.60%
11/5/21,3300207,56.30%,1457014,66.70%,150200,50%,121800,45%,23009,77.70%,966007,98.50%
11/4/21,3291525,54.60%,1486942,63.60%,151400,53%,126500,49%,24009,74.50%,931012,97.50%
11/3/21,3301103,54.80%,1507287,63.40%,154200,54%,131000,51%,23349,70.10%,901230,96.30%
11/2/21,2853901,51.50%,1258180,59.80%,147800,51%,129300,50%,22016,72.20%,853432,95.70%
11/1/21,3041089,52.20%,1448304,62.60%,158400,54%,131300,49%,21387,71.00%,898451,97.80%
10/31/21,1748679,69.50%,656203,62.40%,68700,73%,66300,82%,12233,63.00%,824978,96.10%
10/30/21,2046487,61.10%,819620,59.10%,76500,68%,69300,72%,12642,69.40%,854656,92.30%
10/29/21,3258376,54.70%,1426938,63.00%,153300,51%,122600,46%,22477,74.30%,963442,97.20%
10/28/21,3373576,58.40%,1515489,69.80%,159600,55%,132200,51%,24814,85.50%,959835,108.30%
10/27/21,3307634,54.90%,1503535,63.70%,155900,54%,129900,50%,24144,75.20%,914494,98.80%
10/26/21,2707913,45.30%,1233660,53.10%,130100,45%,104500,40%,21220,68.20%,738636,80.90%
10/25/21,3001962,52.10%,1461023,63.00%,158300,54%,125800,47%,21724,75.20%,883887,96.70%
10/24/21,1601835,72.70%,659283,75.60%,69600,74%,68200,85%,12314,71.90%,883371,113.70%
10/23/21,2079731,62.30%,847596,60.60%,74700,66%,82900,86%,13556,76.00%,914737,96.10%
10/22/21,3232113,54.70%,1471199,64.10%,145800,49%,126600,47%,22843,75.70%,986548,98.00%
10/21/21,3275195,53.50%,1476434,62.00%,149900,52%,127300,49%,24007,74.80%,948652,96.30%
10/20/21,3241475,53.50%,1525608,63.60%,155200,54%,131100,51%,24474,74.70%,916246,96.90%
10/19/21,3185458,54.90%,1510722,66.70%,153400,53%,130000,50%,23403,78.00%,899389,102.80%
10/18/21,2989693,52.70%,1461843,63.80%,153700,53%,127400,48%,21454,78.10%,889996,101.80%
10/17/21,1631844,67.00%,663944,67.80%,74800,80%,69700,87%,12564,67.40%,891527,106.90%
10/16/21,2044396,60.80%,856990,62.00%,83400,74%,74900,78%,13307,75.30%,896392,93.90%
10/15/21,3233854,53.90%,1491099,65.30%,150900,50%,124700,46%,23251,77.20%,990940,96.30%
10/14/21,3248072,53.40%,1527543,66.00%,154600,54%,126800,49%,24144,77.00%,952876,98.30%
10/13/21,3164655,54.10%,1511356,68.90%,151300,53%,124800,48%,24396,78.40%,907632,99.80%
10/12/21,3110171,52.90%,1514608,64.40%,154600,54%,128200,49%,23848,78.70%,910639,99.60%
10/11/21,2267498,53.20%,1045865,64.00%,131700,45%,114500,43%,16917,88.90%,878443,102.90%
10/10/21,1499551,56.40%,601821,55.80%,65600,70%,59000,73%,11794,63.80%,806025,90.00%
10/9/21,2052746,62.80%,856308,62.10%,84600,75%,82000,85%,13634,77.90%,919384,97.80%
10/8/21,3175133,54.10%,1473912,64.60%,153800,51%,123600,46%,23356,78.30%,1001210,97.00%
10/7/21,3198045,52.90%,1523168,64.20%,150100,52%,121400,47%,24571,78.10%,951212,97.90%
10/6/21,3147958,52.90%,1532668,63.40%,149600,52%,123100,48%,24678,79.50%,913993,98.70%
10/5/21,3098187,54.10%,1499767,65.00%,150200,52%,124700,48%,23644,77.80%,887129,101.00%
10/4/21,2870940,50.20%,1419155,60.40%,152600,53%,121300,46%,21794,74.80%,871945,96.40%
10/3/21,1577642,62.60%,673253,62.60%,74900,80%,66800,83%,12936,67.20%,887540,102.00%
10/2/21,2066222,61.90%,883902,62.80%,86600,77%,80900,84%,14145,79.80%,923455,98.70%
10/1/21,3169206,52.80%,1492942,64.00%,140000,47%,116200,43%,23098,77.30%,985786,98.10%
9/30/21,3153965,52.40%,1516081,65.70%,144800,50%,121800,47%,23555,74.60%,953501,101.80%
9/29/21,3070509,51.60%,1513184,62.60%,137500,48%,120000,46%,23323,75.10%,886785,95.80%
9/28/21,2934542,48.80%,1457421,61.10%,141200,49%,118300,45%,21727,72.20%,831192,90.10%
9/27/21,2880083,50.00%,1489441,63.60%,146200,50%,121500,46%,21209,75.70%,881116,95.40%
9/26/21,1616915,63.70%,657257,60.10%,80100,86%,64900,81%,12034,64.30%,895286,97.50%
9/25/21,2132211,66.40%,872490,62.60%,88500,78%,81300,84%,13909,81.70%,953628,98.20%
9/24/21,3128041,53.10%,1469705,63.70%,142800,48%,116700,43%,21941,76.50%,986694,96.60%
9/23/21,3022830,49.80%,1483075,62.60%,140100,49%,115500,44%,23031,75.30%,915198,94.00%
9/22/21,3027925,49.90%,1506211,62.70%,139900,49%,120100,46%,23157,72.80%,872883,92.10%
9/21/21,3025310,50.30%,1505803,63.20%,142700,49%,123900,48%,22399,74.50%,860050,93.20%
9/20/21,2889759,50.20%,1481676,63.20%,148100,51%,122100,46%,21889,78.10%,895109,97.00%
9/19/21,1598720,61.10%,674024,60.20%,69400,74%,64100,80%,12612,67.40%,914623,97.90%
9/18/21,2017430,60.70%,871175,61.10%,77300,69%,76300,79%,14054,79.50%,949178,97.50%
9/17/21,3034676,50.70%,1456201,62.60%,142100,47%,119300,44%,23282,80.70%,982085,96.80%
9/16/21,2539853,42.10%,1210069,50.00%,128000,44%,107700,41%,20826,67.20%,864413,88.20%
9/15/21,2993744,49.90%,1503627,61.80%,139900,49%,116400,45%,23966,74.60%,904733,95.80%
9/14/21,3017947,50.60%,1511145,62.40%,144900,50%,120500,46%,23132,75.30%,908024,97.50%
9/13/21,2858929,50.30%,1441516,60.90%,147800,51%,122500,46%,21898,77.50%,914827,98.50%
9/12/21,1591655,62.10%,694561,62.60%,77000,82%,59000,73%,12239,66.20%,899864,97.90%
9/11/21,1985273,63.30%,870791,62.90%,82200,73%,65300,68%,13070,77.40%,917704,97.70%
9/10/21,2845820,48.40%,1322430,56.40%,150900,50%,113500,42%,23037,78.10%,995486,98.00%
9/9/21,2708091,45.50%,1249341,52.00%,139500,48%,111700,43%,23653,76.10%,911040,93.80%
9/8/21,2534847,46.00%,1192895,54.70%,135700,47%,110900,43%,22354,73.40%,896020,95.60%
9/7/21,2238469,42.10%,1102372,51.90%,137600,48%,113700,44%,21143,73.80%,902400,94.80%
9/6/21,1523354,68.30%,733947,77.40%,77900,83%,51300,19%,10077,105.50%,812884,109.60%
9/5/21,1416893,56.80%,618622,57.10%,71000,76%,45200,56%,11931,63.70%,832200,92.80%
