Date,Subways: % of Comparable Pre-Pandemic Day,Buses: % of Comparable Pre-Pandemic Day,Bridges and Tunnels: % of Comparable Pre-Pandemic Day
3/1/20,98.7,101.0,107.8
3/2/20,123.9,140.0,127.5
3/3/20,96.1,97.0,98.3
3/4/20,96.8,97.0,99.9
3/5/20,95.6,99.0,99.1
3/6/20,91.6,93.0,96.0
3/7/20,90.4,91.0,92.4
3/8/20,100.4,107.0,99.4
3/9/20,89.6,93.0,95.3
3/10/20,84.9,91.0,94.2
3/11/20,81.5,90.0,93.3
3/12/20,71.6,82.0,91.3
3/13/20,62.0,77.0,86.2
3/14/20,52.5,73.0,69.8
3/15/20,47.6,69.0,63.6
3/16/20,40.5,55.0,79.4
3/17/20,31.8,47.0,71.6
3/18/20,28.6,45.0,68.8
3/19/20,25.6,43.0,62.0
3/20/20,23.9,41.0,58.4
3/21/20,20.5,43.0,43.3
3/22/20,16.9,35.0,31.8
3/23/20,13.1,26.0,40.7
3/24/20,13.1,28.0,43.7
3/25/20,12.1,27.0,40.6
3/26/20,11.8,28.0,40.3
3/27/20,11.8,29.0,40.2
3/28/20,10.2,29.0,25.9
3/29/20,11.7,31.0,24.2
3/30/20,9.8,25.0,38.4
3/31/20,8.8,22.0,37.3
4/1/20,8.7,21.0,36.7
4/2/20,8.2,20.0,34.8
4/3/20,8.5,22.0,34.9
4/4/20,8.6,27.0,26.0
4/5/20,9.1,30.0,23.4
4/6/20,8.0,20.0,36.9
4/7/20,7.6,19.0,36.7
4/8/20,7.3,18.0,34.2
4/9/20,7.0,17.0,31.2
4/10/20,7.0,19.0,31.4
4/11/20,7.8,27.0,26.9
4/12/20,8.0,28.0,25.6
4/13/20,6.5,16.0,31.3
4/14/20,7.3,20.0,37.6
4/15/20,7.0,19.0,35.1
4/16/20,7.1,20.0,34.6
4/17/20,9.1,27.0,39.2
4/18/20,9.0,29.0,30.2
4/19/20,9.6,32.0,31.4
4/20/20,8.9,27.0,40.4
4/21/20,7.8,22.0,38.2
4/22/20,8.5,26.0,42.3
4/23/20,8.3,25.0,41.1
4/24/20,8.8,27.0,42.9
4/25/20,9.1,32.0,38.0
4/26/20,9.1,30.0,27.6
4/27/20,8.3,23.0,42.4
4/28/20,8.5,24.0,47.0
4/29/20,8.2,22.0,43.1
4/30/20,7.9,21.0,41.2
5/1/20,8.6,25.0,44.1
5/2/20,10.1,34.0,43.0
5/3/20,11.1,45.0,44.3
5/4/20,9.1,25.0,48.2
5/5/20,9.0,25.0,49.4
5/6/20,8.7,22.0,46.2
5/7/20,9.1,26.0,49.5
5/8/20,9.3,25.0,47.4
5/9/20,9.9,32.0,37.4
5/10/20,13.1,46.0,48.8
5/11/20,9.6,26.0,50.6
5/12/20,9.6,26.0,52.1
5/13/20,9.6,26.0,52.1
5/14/20,9.6,26.0,51.0
5/15/20,10.3,30.0,53.4
5/16/20,10.6,37.0,47.9
5/17/20,11.0,37.0,41.3
5/18/20,10.7,28.0,52.3
5/19/20,10.4,28.0,54.1
5/20/20,10.6,28.0,54.7
5/21/20,11.1,30.0,57.8
5/22/20,11.7,31.0,59.6
5/23/20,11.2,35.0,43.6
5/24/20,12.6,43.0,52.6
5/25/20,15.1,46.0,56.5
5/26/20,12.1,33.0,63.4
5/27/20,11.9,33.0,63.4
5/28/20,11.5,32.0,59.9
5/29/20,11.4,33.0,57.0
5/30/20,13.5,44.0,55.6
5/31/20,13.6,43.0,55.3
6/1/20,12.4,34.0,62.2
6/2/20,12.6,34.0,60.9
6/3/20,11.9,32.0,60.3
6/4/20,12.7,37.0,64.8
6/5/20,12.4,35.0,62.4
6/6/20,14.2,46.0,57.0
6/7/20,14.6,49.0,60.4
6/8/20,15.3,42.0,73.5
6/9/20,14.7,41.0,70.9
6/10/20,14.6,39.0,69.4
6/11/20,14.4,38.0,67.6
6/12/20,15.7,43.0,73.5
6/13/20,17.0,50.0,62.5
6/14/20,18.5,55.0,60.5
6/15/20,16.5,43.0,71.0
6/16/20,16.7,46.0,74.7
6/17/20,16.6,45.0,73.2
6/18/20,16.6,48.0,73.0
6/19/20,17.8,55.0,77.7
6/20/20,17.4,55.0,66.4
6/21/20,17.1,53.0,67.6
6/22/20,18.5,48.0,74.8
6/23/20,19.0,52.0,77.9
6/24/20,18.5,49.0,74.1
6/25/20,19.1,52.0,74.8
6/26/20,20.2,57.0,79.5
6/27/20,19.3,57.0,65.2
6/28/20,17.7,58.0,66.8
6/29/20,21.2,53.0,80.1
6/30/20,20.9,52.0,80.1
7/1/20,21.5,53.0,77.2
7/2/20,22.4,57.0,114.6
7/3/20,31.3,87.0,83.4
7/4/20,22.8,59.0,71.7
7/5/20,23.1,60.0,75.2
7/6/20,21.2,50.0,81.2
7/7/20,21.2,52.0,79.0
7/8/20,21.1,51.0,79.1
7/9/20,22.1,57.0,84.3
7/10/20,19.1,45.0,70.0
7/11/20,22.9,59.0,62.9
7/12/20,25.8,64.0,74.1
7/13/20,22.2,55.0,79.6
7/14/20,22.4,56.0,83.1
7/15/20,22.8,58.0,84.8
7/16/20,23.1,59.0,83.8
7/17/20,23.2,57.0,79.7
7/18/20,29.5,72.0,80.8
7/19/20,26.9,67.0,79.7
7/20/20,22.9,57.0,84.4
7/21/20,23.6,59.0,86.7
7/22/20,22.1,54.0,80.1
7/23/20,22.2,55.0,78.1
7/24/20,23.0,56.0,79.6
7/25/20,26.8,69.0,78.2
7/26/20,24.9,64.0,73.3
7/27/20,23.4,57.0,84.1
7/28/20,23.0,57.0,82.5
7/29/20,24.2,62.0,86.5
7/30/20,23.3,57.0,81.2
7/31/20,24.1,60.0,84.3
8/1/20,28.0,69.0,85.2
8/2/20,24.1,62.0,70.1
8/3/20,24.8,62.0,87.0
8/4/20,19.2,46.0,61.8
8/5/20,25.7,66.0,92.5
8/6/20,24.6,59.0,84.7
8/7/20,24.9,62.0,82.5
8/8/20,27.6,70.0,74.7
8/9/20,26.8,70.0,81.4
8/10/20,25.4,63.0,87.3
8/11/20,25.7,64.0,90.7
8/12/20,24.8,61.0,84.6
